-5.0000	-22.8730
-4.8000	-56.1974
-4.6000	44.2075
-4.4000	49.4720
-4.2000	36.2263
-4.0000	86.9872
-3.8000	27.2712
-3.6000	140.3134
-3.4000	81.1476
-3.2000	32.7650
-3.0000	146.4710
-2.8000	176.6227
-2.6000	-5.1445
-2.4000	122.4383
-2.2000	56.8941
-2.0000	60.0858
-1.8000	58.6112
-1.6000	28.8131
-1.4000	166.1061
-1.2000	91.0325
-1.0000	53.2067
-0.8000	177.2704
-0.6000	28.7346
-0.4000	122.2980
-0.2000	176.9223
0.0000	28.7497
0.2000	20.3488
0.4000	92.1352
0.6000	175.7981
0.8000	119.4126
1.0000	75.9515
1.2000	30.3549
1.4000	11.3354
1.6000	71.3753
1.8000	33.8270
2.0000	137.2871
2.2000	95.7896
2.4000	52.4216
2.6000	207.9798
2.8000	174.2162
3.0000	154.7947
3.2000	229.1572
3.4000	289.2861
3.6000	223.2528
3.8000	162.1009
4.0000	205.9561
4.2000	201.2493
4.4000	392.5199
4.6000	338.6312
4.8000	311.3863
